Geo,RetEmp,SvcEmp,TotEmp,Year
530330117002,10,10,830.0,2018
530330117003,6,15,246.0,2018
530330117004,5,28,190.0,2018
530330118011,7,1,17.0,2018
530330118012,41,13,127.0,2018
530330118013,70,16,554.0,2018
530330118021,6,12,228.0,2018
530330118022,3,39,175.0,2018
530330118023,83,32,358.0,2018
530330119011,2,0,18.0,2018
530330119012,0,0,66.0,2018
530330119013,0,0,1789.0,2018
530330119021,0,0,0.0,2018
530330119022,0,0,4.0,2018
530330119023,0,0,0.0,2018
530330120001,2,0,15.0,2018
530330120002,3,7,127.0,2018
530330120003,2,4,23.0,2018
530330121001,0,0,0.0,2018
530330121002,6,13,67.0,2018
530330201001,2,4,112.0,2018
530330201002,3,1,55.0,2018
530330201003,0,2,21.0,2018
530330202001,0,2,47.0,2018
530330202002,70,217,1158.0,2018
530330202003,0,26,153.0,2018
530330202004,2,0,118.0,2018
530330203011,293,162,861.0,2018
530330203012,389,149,789.0,2018
530330203021,132,16,511.0,2018
530330203022,31,20,184.0,2018
530330203023,2,2,25.0,2018
530330204011,119,52,573.0,2018
530330204012,0,35,440.0,2018
530330204013,19,5,79.0,2018
530330204021,1,3,25.0,2018
530330204022,0,2,35.0,2018
530330204023,1,1,99.0,2018
530330204024,14,4,133.0,2018
530330205001,2,9,65.0,2018
530330205002,55,13,152.0,2018
530330205003,11,2,112.0,2018
530330205004,7,11,115.0,2018
530330205005,53,8,97.0,2018
530330206001,0,0,9.0,2018
530330206002,0,0,18.0,2018
530330206003,0,0,193.0,2018
530330206004,0,0,0.0,2018
530330207001,38,131,722.0,2018
530330207002,363,22,760.0,2018
530330207003,305,11,675.0,2018
530330208001,19,12,224.0,2018
530330208002,1,4,68.0,2018
530330208003,0,4,55.0,2018
530330209001,200,44,1181.0,2018
530330209002,129,29,1070.0,2018
530330209003,0,132,1191.0,2018
530330210001,1,2,38.0,2018
530330210002,0,8,334.0,2018
530330210003,76,124,269.0,2018
530330210004,20,22,121.0,2018
530330210005,3,1,278.0,2018
530330211001,0,15,99.0,2018
530330211002,2,4,43.0,2018
530330211003,1,42,1395.0,2018
530330213001,0,63,225.0,2018
530330213002,0,36,203.0,2018
530330213003,1,9,117.0,2018
530330214001,112,37,409.0,2018
530330214002,1,2,105.0,2018
530330214003,0,0,0.0,2018
530330215001,0,0,14.0,2018
530330215002,0,29,121.0,2018
530330215003,0,0,0.0,2018
530330215004,0,2,14.0,2018
530330216001,0,7,235.0,2018
530330216002,82,64,770.0,2018
530330216003,4,8,61.0,2018
530330216004,0,0,0.0,2018
530330217011,1,0,134.0,2018
530330217012,0,0,0.0,2018
530330217013,2,1,213.0,2018
530330217021,14,0,295.0,2018
530330217022,11,1,120.0,2018
530330217023,176,8,588.0,2018
530330218021,291,77,5623.0,2018
530330218022,447,393,4459.0,2018
530330218023,16,5,108.0,2018
530330218024,5,20,400.0,2018
530330218031,1,9,226.0,2018
530330218032,263,22,1024.0,2018
530330218033,62,97,1217.0,2018
530330218034,110,14,216.0,2018
530330218041,0,6,192.0,2018
530330218042,0,4,670.0,2018
530330218043,0,40,88.0,2018
530330218044,0,3,803.0,2018
530330219031,565,200,3525.0,2018
530330219032,182,24,5027.0,2018
530330219033,0,2,129.0,2018
530330219034,2,4,51.0,2018
530330219041,312,77,2059.0,2018
530330219042,1,21,232.0,2018
530330219043,8,110,281.0,2018
530330219044,0,0,0.0,2018
530330219051,3,22,513.0,2018
530330219052,5,6,51.0,2018
530330219053,0,1,72.0,2018
530330219054,0,3,349.0,2018
530330219061,80,195,3045.0,2018
530330219062,153,273,1035.0,2018
530330219063,0,0,0.0,2018
530330220011,11,43,315.0,2018
530330220012,0,18,436.0,2018
530330220013,0,1,34.0,2018
530330220031,0,4,58.0,2018
530330220032,0,0,124.0,2018
530330220033,127,28,1028.0,2018
530330220034,1,1,36.0,2018
530330220051,1,0,103.0,2018
530330220052,513,99,3178.0,2018
530330220053,200,116,877.0,2018
530330220054,7,7,300.0,2018
530330220061,53,34,245.0,2018
530330220062,4,11,63.0,2018
530330220063,5,87,286.0,2018
530330221011,0,2,114.0,2018
530330221012,0,66,189.0,2018
530330221013,0,0,16.0,2018
530330221014,4,57,192.0,2018
530330221021,2,1,232.0,2018
530330221022,1,0,14.0,2018
530330221023,0,0,24.0,2018
530330221024,1,2,108.0,2018
530330222011,0,1,17.0,2018
530330222012,0,2,33.0,2018
530330222013,102,32,337.0,2018
530330222031,0,3,29.0,2018
530330222032,3,6,94.0,2018
530330222033,21,5,275.0,2018
530330222034,3,6,56.0,2018
530330222041,0,9,23.0,2018
530330222042,11,6,38.0,2018
530330222043,19,27,155.0,2018
530330222051,32,87,419.0,2018
530330222052,0,10,135.0,2018
530330222053,10,16,141.0,2018
530330223001,1,25,641.0,2018
530330223002,3,5,120.0,2018
530330224011,2,127,354.0,2018
